id,name,model,manufacturer,cost_in_credits,length,max_atmosphering_speed,crew,passengers,cargo_capacity,consumables,hyperdrive_rating,mglt,starship_class,pilots,films,pilot_count,film_count,starship_key,pilot_keys,film_keys
1,Millennium Falcon,YT-1300 light freighter,Corellian Engineering Corporation,100000.0,34.75,1050.0,4.0,6.0,100000.0,2 months,0.5,75.0,Light freighter,"Han Solo, Chewbacca","A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker",2,6,millennium_falcon,"han_solo, chewbacca","a_new_hope, the_empire_strikes_back, return_of_the_jedi, the_force_awakens, the_last_jedi, the_rise_of_skywalker"
2,X-wing,T-65 X-wing starfighter,Incom Corporation,149999.0,12.5,1050.0,1.0,0.0,110.0,1 week,1.0,100.0,Starfighter,Luke Skywalker,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens, The Last Jedi, The Rise of Skywalker",1,6,x_wing,luke_skywalker,"a_new_hope, the_empire_strikes_back, return_of_the_jedi, the_force_awakens, the_last_jedi, the_rise_of_skywalker"
3,TIE Fighter,Twin Ion Engine/Ln Starfighter,Sienar Fleet Systems,75000.0,8.99,1200.0,1.0,0.0,65.0,2 days,1.0,100.0,Starfighter,,"A New Hope, The Empire Strikes Back, Return of the Jedi",0,3,tie_fighter,,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
4,Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000.0,1600.0,975.0,47060.0,0.0,36000000.0,2 years,2.0,60.0,Capital ship,,"A New Hope, The Empire Strikes Back, Return of the Jedi",0,3,star_destroyer,,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
5,Slave 1,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,,21.5,1000.0,1.0,6.0,80000.0,1 month,3.0,70.0,Patrol craft,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian",1,3,slave_1,boba_fett,"the_empire_strikes_back, attack_of_the_clones, the_mandalorian"
6,A-wing,RZ-1 A-wing interceptor,Alliance Underground Engineering,175000.0,9.6,1300.0,1.0,0.0,40.0,1 week,1.0,120.0,Interceptor,,"Return of the Jedi, The Last Jedi",0,2,a_wing,,"return_of_the_jedi, the_last_jedi"
7,B-wing,A/SF-01 B-wing starfighter,Slayn & Korpil,220000.0,16.9,950.0,1.0,0.0,45.0,1 week,2.0,91.0,Assault starfighter,,Return of the Jedi,0,1,b_wing,,return_of_the_jedi
8,Y-wing,BTL Y-wing starfighter,Koensayr Manufacturing,135000.0,23.4,1000.0,2.0,0.0,110.0,1 week,1.0,80.0,Assault starfighter,,"A New Hope, The Empire Strikes Back, Return of the Jedi",0,3,y_wing,,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
9,Executor,Executor-class Star Dreadnought,"Kuat Drive Yards, Fondor Shipyards",1143350000.0,19000.0,975.0,279144.0,38000.0,250000000.0,6 years,4.0,40.0,Star Dreadnought,Darth Vader,"The Empire Strikes Back, Return of the Jedi",1,2,executor,darth_vader,"the_empire_strikes_back, return_of_the_jedi"
10,Rebel transport,GR-75 medium transport,"Gallofree Yards, Inc.",3000000.0,90.0,650.0,6.0,90.0,19000000.0,6 months,4.0,20.0,Medium transport,,"The Empire Strikes Back, Return of the Jedi",0,2,rebel_transport,,"the_empire_strikes_back, return_of_the_jedi"
11,Naboo Royal Starship,J-type 327 Nubian,Theed Palace Space Vessel Engineering Corps,,76.0,920.0,8.0,20.0,2000000.0,1 month,1.8,75.0,Yacht,Padme Amidala,The Phantom Menace,1,1,naboo_royal_starship,padme_amidala,the_phantom_menace
12,ARC-170,Aggressive ReConnaissance-170 starfighter,"Incom Corporation, Subpro Corporation",,14.5,1000.0,3.0,0.0,110.0,5 days,1.0,100.0,Starfighter,,Revenge of the Sith,0,1,arc_170,,revenge_of_the_sith
13,Eta-2 Actis,Eta-2 Actis-class light interceptor,Kuat Systems Engineering,,5.47,1500.0,1.0,0.0,60.0,2 days,1.0,85.0,Interceptor,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith,2,1,eta_2_actis,"anakin_skywalker, obi_wan_kenobi",revenge_of_the_sith
14,Venator-class Star Destroyer,Venator-class,Kuat Drive Yards,,1137.0,975.0,7400.0,2000.0,20000000.0,6 years,2.0,60.0,Capital ship,,"Revenge of the Sith, The Clone Wars",0,2,venator_class_star_destroyer,,"revenge_of_the_sith, the_clone_wars"
15,Naboo N-1 Starfighter,N-1,Theed Palace Space Vessel Engineering Corps,,11.0,1100.0,1.0,0.0,65.0,3 days,1.0,100.0,Starfighter,Anakin Skywalker,"The Phantom Menace, Attack of the Clones",1,2,naboo_n_1_starfighter,anakin_skywalker,"the_phantom_menace, attack_of_the_clones"
16,Jedi Interceptor,Eta-2 Actis-class interceptor,Kuat Systems Engineering,,5.47,1500.0,1.0,0.0,60.0,2 days,1.0,85.0,Interceptor,"Anakin Skywalker, Obi-Wan Kenobi",Revenge of the Sith,2,1,jedi_interceptor,"anakin_skywalker, obi_wan_kenobi",revenge_of_the_sith
17,Sith Infiltrator,Scimitar,Republic Sienar Systems,,26.5,1180.0,1.0,6.0,150000.0,1 month,1.5,80.0,Starfighter,Darth Maul,The Phantom Menace,1,1,sith_infiltrator,darth_maul,the_phantom_menace
18,V-wing,Alpha-3 Nimbus-class V-wing starfighter,Kuat Systems Engineering,,7.9,1050.0,1.0,0.0,60.0,2 days,1.0,90.0,Starfighter,,Revenge of the Sith,0,1,v_wing,,revenge_of_the_sith
19,Delta-7 Aethersprite,Delta-7 Aethersprite-class light interceptor,Kuat Systems Engineering,,8.0,1150.0,1.0,0.0,60.0,2 days,1.0,90.0,Interceptor,Obi-Wan Kenobi,Attack of the Clones,1,1,delta_7_aethersprite,obi_wan_kenobi,attack_of_the_clones
20,Imperial Shuttle,Lambda-class T-4a shuttle,Sienar Fleet Systems,,20.0,850.0,6.0,20.0,80000.0,1 month,1.0,50.0,Shuttle,Emperor Palpatine,Return of the Jedi,1,1,imperial_shuttle,emperor_palpatine,return_of_the_jedi
21,Tantive IV,CR90 corvette,Corellian Engineering Corporation,3500000.0,150.0,950.0,165.0,30.0,3000000.0,1 year,2.0,60.0,Corvette,Leia Organa,"A New Hope, Revenge of the Sith",1,2,tantive_iv,leia_organa,"a_new_hope, revenge_of_the_sith"
22,Slave II,Firespray-31-class patrol and attack craft,Kuat Systems Engineering,,21.5,1000.0,1.0,6.0,80000.0,1 month,3.0,70.0,Patrol craft,Boba Fett,"The Empire Strikes Back, Attack of the Clones, The Mandalorian",1,3,slave_ii,boba_fett,"the_empire_strikes_back, attack_of_the_clones, the_mandalorian"
23,TIE Bomber,TIE/sa bomber,Sienar Fleet Systems,,7.8,850.0,1.0,0.0,40.0,2 days,1.0,60.0,Bomber,,The Empire Strikes Back,0,1,tie_bomber,,the_empire_strikes_back
24,Imperial Star Destroyer,Imperial I-class Star Destroyer,Kuat Drive Yards,150000000.0,1600.0,975.0,47060.0,0.0,36000000.0,2 years,2.0,60.0,Capital ship,,"A New Hope, The Empire Strikes Back, Return of the Jedi",0,3,imperial_star_destroyer,,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
