id,name,model,manufacturer,cost_in_credits,length,type,description,films,film_count,weapon_key,film_keys
1,Lightsaber,Standard Lightsaber,Various,,1.0,Melee,A weapon with a plasma blade powered by a kyber crystal.,All Episodes,11,lightsaber,all_episodes
2,DL-44 Blaster Pistol,DL-44,BlasTech Industries,1500.0,0.3,Blaster,A powerful and highly modifiable blaster pistol.,"A New Hope, The Empire Strikes Back, Return of the Jedi, The Force Awakens",4,dl_44_blaster_pistol,"a_new_hope, the_empire_strikes_back, return_of_the_jedi, the_force_awakens"
3,E-11 Blaster Rifle,E-11,BlasTech Industries,1000.0,0.43,Blaster,Standard issue blaster rifle for Imperial stormtroopers.,"A New Hope, The Empire Strikes Back, Return of the Jedi",3,e_11_blaster_rifle,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
4,Bowcaster,Wookiee Bowcaster,Various,,1.5,Projectile,A traditional Wookiee weapon that fires explosive quarrels.,"A New Hope, The Force Awakens, The Last Jedi",3,bowcaster,"a_new_hope, the_force_awakens, the_last_jedi"
5,Thermal Detonator,Model TD,Various,2000.0,0.1,Explosive,A highly destructive grenade.,"Return of the Jedi, The Force Awakens",2,thermal_detonator,"return_of_the_jedi, the_force_awakens"
6,Electrostaff,Z6 Riot Control Baton,Merr-Sonn Munitions,,2.0,Melee,"A staff that delivers electric shocks, used by riot control stormtroopers.",The Force Awakens,1,electrostaff,the_force_awakens
7,DC-15A Blaster Rifle,DC-15A,BlasTech Industries,2500.0,1.26,Blaster,A heavy blaster rifle used by clone troopers.,"Attack of the Clones, Revenge of the Sith",2,dc_15a_blaster_rifle,"attack_of_the_clones, revenge_of_the_sith"
8,Force Pike,Force Pike,Various,,2.0,Melee,A staff weapon used by the Emperor's Royal Guard.,Return of the Jedi,1,force_pike,return_of_the_jedi
9,SE-14C Blaster Pistol,SE-14C,BlasTech Industries,800.0,0.22,Blaster,A rapid-fire blaster pistol.,A New Hope,1,se_14c_blaster_pistol,a_new_hope
10,Westar-34 Blaster,Westar-34,BlasTech Industries,1200.0,0.23,Blaster,A pair of blaster pistols used by Jango Fett.,Attack of the Clones,1,westar_34_blaster,attack_of_the_clones
11,DH-17 Blaster Pistol,DH-17,BlasTech Industries,1200.0,0.3,Blaster,A blaster pistol used by the Rebel Alliance.,"A New Hope, The Empire Strikes Back",2,dh_17_blaster_pistol,"a_new_hope, the_empire_strikes_back"
12,DC-17 Hand Blaster,DC-17,BlasTech Industries,1500.0,0.32,Blaster,A blaster pistol used by clone troopers.,The Clone Wars,1,dc_17_hand_blaster,the_clone_wars
13,A280 Blaster Rifle,A280,BlasTech Industries,2000.0,0.45,Blaster,A heavy blaster rifle used by the Rebel Alliance.,Return of the Jedi,1,a280_blaster_rifle,return_of_the_jedi
14,RT-97C Heavy Blaster Rifle,RT-97C,BlasTech Industries,3000.0,1.2,Blaster,A heavy blaster rifle used by Imperial stormtroopers.,A New Hope,1,rt_97c_heavy_blaster_rifle,a_new_hope
15,F-11D Blaster Rifle,F-11D,Sonn-Blas Corporation,2500.0,1.1,Blaster,A blaster rifle used by the First Order stormtroopers.,"The Force Awakens, The Last Jedi, The Rise of Skywalker",3,f_11d_blaster_rifle,"the_force_awakens, the_last_jedi, the_rise_of_skywalker"
16,Sonic Rifle,ZX Miniature Proton Rifle,Baktoid Armor Workshop,3500.0,1.4,Blaster,A sonic rifle used by the Geonosians.,Attack of the Clones,1,sonic_rifle,attack_of_the_clones
17,Ryyk Blade,Ryyk Blade,Wookiees,,1.0,Melee,A traditional Wookiee melee weapon.,Star Wars: The Clone Wars,1,ryyk_blade,star_wars_the_clone_wars
18,Z-6 Rotary Blaster Cannon,Z-6,BlasTech Industries,5000.0,1.5,Blaster,A rotary blaster cannon used by clone troopers.,The Clone Wars,1,z_6_rotary_blaster_cannon,the_clone_wars
19,Gaderffii,Gaderffii,Tusken Raiders,,1.5,Melee,A traditional melee weapon used by the Tusken Raiders.,"A New Hope, Attack of the Clones",2,gaderffii,"a_new_hope, attack_of_the_clones"
20,Bo-Rifle,Bo-Rifle,Lasat,,2.0,Melee/Blaster,A hybrid melee and blaster weapon used by the Lasat.,Star Wars Rebels,1,bo_rifle,star_wars_rebels
21,DLT-19 Heavy Blaster Rifle,DLT-19,BlasTech Industries,4500.0,1.1,Blaster,A heavy blaster rifle used by Imperial stormtroopers.,A New Hope,1,dlt_19_heavy_blaster_rifle,a_new_hope
22,Kyuzo Petar,Kyuzo Petar,Kyuzo,,1.2,Melee,A traditional melee weapon used by the Kyuzo.,The Clone Wars,1,kyuzo_petar,the_clone_wars
23,Electro-proton Bomb,Electro-proton Bomb,Galactic Republic,,,Explosive,A massive bomb used to disable droids.,The Clone Wars,1,electro_proton_bomb,the_clone_wars
24,Nightsister Energy Bow,Energy Bow,Nightsisters,,1.5,Projectile,A traditional bow used by the Nightsisters.,The Clone Wars,1,nightsister_energy_bow,the_clone_wars
25,Relby-v10 Mortar Gun,Relby-v10,BlasTech Industries,5000.0,1.2,Blaster,A mortar gun used by bounty hunters.,Star Wars Rebels,1,relby_v10_mortar_gun,star_wars_rebels
26,Stun Baton,Stun Baton,First Order,,0.8,Melee,A melee weapon used by the First Order stormtroopers.,The Force Awakens,1,stun_baton,the_force_awakens
27,Particle Beam Blaster,Particle Beam Blaster,Various,3000.0,0.4,Blaster,A blaster that fires particle beams.,The Clone Wars,1,particle_beam_blaster,the_clone_wars
28,Vibroblade,Vibroblade,Various,,0.5,Melee,A melee weapon with a vibrating blade.,"The Clone Wars, The Mandalorian",2,vibroblade,"the_clone_wars, the_mandalorian"
29,DC-15S Blaster Carbine,DC-15S,BlasTech Industries,1500.0,0.76,Blaster,A compact blaster carbine used by clone troopers.,"Attack of the Clones, Revenge of the Sith",2,dc_15s_blaster_carbine,"attack_of_the_clones, revenge_of_the_sith"
30,Whipcord Thrower,Whipcord Thrower,Various,,,Projectile,A wrist-mounted device that fires a whipcord.,The Mandalorian,1,whipcord_thrower,the_mandalorian
31,Wrist Rocket,Wrist Rocket,Various,,,Projectile,A wrist-mounted rocket launcher.,The Mandalorian,1,wrist_rocket,the_mandalorian
32,Flame Thrower,Flame Thrower,Various,,,Projectile,A device that projects a stream of fire.,The Mandalorian,1,flame_thrower,the_mandalorian
33,Amban Phase-Pulse Blaster,Amban,Various,,1.5,Blaster,A blaster with a long barrel used by the Mandalorians.,The Mandalorian,1,amban_phase_pulse_blaster,the_mandalorian
34,Vibro-ax,Vibro-ax,Various,,1.2,Melee,A melee weapon with a vibrating blade.,Return of the Jedi,1,vibro_ax,return_of_the_jedi
35,Power Hammer,Power Hammer,Various,,1.0,Melee,A hammer with an energy source to increase its impact.,Star Wars: The Clone Wars,1,power_hammer,star_wars_the_clone_wars
36,Ion Blaster,Ion Blaster,Various,1800.0,0.5,Blaster,A blaster that fires ion energy to disable electronics.,The Clone Wars,1,ion_blaster,the_clone_wars
37,Stun Gun,Stun Gun,Various,1200.0,0.3,Blaster,A weapon that emits a stunning energy beam.,The Mandalorian,1,stun_gun,the_mandalorian
38,Proton Torpedo,Proton Torpedo,Various,,,Projectile,A powerful torpedo used in space battles.,"A New Hope, The Empire Strikes Back, Return of the Jedi",3,proton_torpedo,"a_new_hope, the_empire_strikes_back, return_of_the_jedi"
39,Bow Rifle,Bow Rifle,Lasat,,1.5,Melee/Blaster,A hybrid melee and blaster weapon used by the Lasat.,Star Wars Rebels,1,bow_rifle,star_wars_rebels
40,Force Lance,Force Lance,Jedi,,1.2,Melee,A melee weapon imbued with the Force.,Star Wars: The Clone Wars,1,force_lance,star_wars_the_clone_wars
41,DC-17m Interchangeable Weapon System,DC-17m,BlasTech Industries,3500.0,0.85,Blaster,A modular blaster used by clone commandos.,Star Wars: Republic Commando,1,dc_17m_interchangeable_weapon_system,star_wars_republic_commando
42,Geonosian Sonic Blaster,Sonic Blaster,Baktoid Armor Workshop,2500.0,1.0,Blaster,A blaster that fires sonic energy.,Attack of the Clones,1,geonosian_sonic_blaster,attack_of_the_clones
43,E-Web Heavy Blaster,E-Web,BlasTech Industries,5000.0,2.0,Blaster,A heavy blaster used by Imperial forces.,"The Empire Strikes Back, The Mandalorian",2,e_web_heavy_blaster,"the_empire_strikes_back, the_mandalorian"
44,Vibrosword,Vibrosword,Various,,1.2,Melee,A sword with a vibrating blade.,The Clone Wars,1,vibrosword,the_clone_wars
45,T-7 Ion Disruptor Rifle,T-7,SoroSuub Corporation,4000.0,1.1,Blaster,An ion disruptor rifle used by the Empire.,Star Wars Rebels,1,t_7_ion_disruptor_rifle,star_wars_rebels
46,Blurrg-1120 Holdout Blaster,Blurrg-1120,BlasTech Industries,1200.0,0.2,Blaster,A compact blaster pistol used by the Resistance.,The Last Jedi,1,blurrg_1120_holdout_blaster,the_last_jedi
47,Scatterblaster,Scatterblaster,Various,2000.0,0.6,Blaster,A blaster that fires in a wide spread.,Star Wars: Battlefront,1,scatterblaster,star_wars_battlefront
48,Stokhli Spray Stick,Spray Stick,Various,,1.5,Blaster,A weapon that fires a stream of immobilizing spray.,Star Wars: Galaxy's Edge,1,stokhli_spray_stick,star_wars_galaxy_s_edge
49,Disruptor Rifle,Disruptor Rifle,Various,4500.0,1.0,Blaster,A blaster that disintegrates its target.,The Mandalorian,1,disruptor_rifle,the_mandalorian
50,DL-18 Blaster Pistol,DL-18,BlasTech Industries,1500.0,0.35,Blaster,A common blaster pistol.,Return of the Jedi,1,dl_18_blaster_pistol,return_of_the_jedi
51,C1 Personal Ion Blaster,C1,Various,2000.0,0.4,Blaster,An ion blaster used by bounty hunters.,The Clone Wars,1,c1_personal_ion_blaster,the_clone_wars
52,Relby-k23 Blaster Pistol,Relby-k23,BlasTech Industries,1200.0,0.25,Blaster,A blaster pistol used by bounty hunters.,The Clone Wars,1,relby_k23_blaster_pistol,the_clone_wars
53,KX-80 Repeating Blaster,KX-80,BlasTech Industries,5000.0,1.5,Blaster,A heavy repeating blaster.,The Clone Wars,1,kx_80_repeating_blaster,the_clone_wars
54,Disruptor Pistol,Disruptor Pistol,Various,3000.0,0.3,Blaster,A disruptor pistol that disintegrates its target.,The Mandalorian,1,disruptor_pistol,the_mandalorian
55,Dart Shooter,Dart Shooter,Various,,0.2,Projectile,A wrist-mounted dart shooter.,The Mandalorian,1,dart_shooter,the_mandalorian
56,Energy Sling,Energy Sling,Various,,0.8,Projectile,A sling that fires energy projectiles.,Star Wars: The Clone Wars,1,energy_sling,star_wars_the_clone_wars
57,Merr-Sonn Scatter Gun,Scatter Gun,Merr-Sonn Munitions,2200.0,0.8,Blaster,A scatter gun that fires a wide spread of blaster bolts.,The Force Awakens,1,merr_sonn_scatter_gun,the_force_awakens
