id,name,species,gender,height,weight,hair_color,eye_color,skin_color,year_born,homeworld,year_died,description,character_key
1,Luke Skywalker,Human,Male,1.72,77.0,Blond,Blue,Light,19.0,Tatooine,34.0,The main protagonist of the original trilogy.,luke_skywalker
2,Leia Organa,Human,Female,1.5,49.0,Brown,Brown,Light,19.0,Alderaan,35.0,A leader in the Rebel Alliance and twin sister of Luke Skywalker.,leia_organa
3,Darth Vader,Human,Male,2.02,136.0,,Yellow,Pale,41.0,Tatooine,4.0,The Sith Lord formerly known as Anakin Skywalker.,darth_vader
4,Yoda,Yoda's species,Male,0.66,17.0,White,Brown,Green,896.0,,4.0,A wise and powerful Jedi Master.,yoda
5,Han Solo,Human,Male,1.8,80.0,Brown,Hazel,Light,29.0,Corellia,34.0,A smuggler turned hero in the Rebel Alliance.,han_solo
6,Chewbacca,Wookiee,Male,2.28,112.0,Brown,Blue,Brown,200.0,Kashyyyk,,A loyal Wookiee and co-pilot of the Millennium Falcon.,chewbacca
7,Obi-Wan Kenobi,Human,Male,1.82,81.0,White,Blue-gray,Light,57.0,Stewjon,0.0,A Jedi Master who mentored Anakin and Luke Skywalker.,obi_wan_kenobi
8,Emperor Palpatine,Human,Male,1.73,75.0,,Yellow,Pale,82.0,Naboo,35.0,The Sith Lord who became Emperor of the galaxy.,emperor_palpatine
9,Anakin Skywalker,Human,Male,1.88,84.0,Blond,Blue,Light,41.0,Tatooine,4.0,A Jedi Knight who fell to the dark side and became Darth Vader.,anakin_skywalker
10,Padme Amidala,Human,Female,1.65,45.0,Brown,Brown,Light,46.0,Naboo,19.0,The queen-turned-senator of Naboo and wife of Anakin Skywalker.,padme_amidala
11,Qui-Gon Jinn,Human,Male,1.93,89.0,Brown,Blue,Light,92.0,Coruscant,32.0,A Jedi Master who discovered Anakin Skywalker.,qui_gon_jinn
12,Mace Windu,Human,Male,1.88,84.0,,Brown,Dark,72.0,Haruun Kal,19.0,A Jedi Master and member of the Jedi High Council.,mace_windu
13,Jar Jar Binks,Gungan,Male,1.96,66.0,,Orange,Orange,52.0,Naboo,,A clumsy Gungan who became a representative in the Galactic Senate.,jar_jar_binks
14,Count Dooku,Human,Male,1.93,80.0,White,Brown,Light,102.0,Serenno,19.0,"A former Jedi who became Darth Tyranus, a Sith Lord.",count_dooku
15,Rey,Human,Female,1.7,54.0,Brown,Hazel,Light,15.0,Jakku,,The main protagonist of the sequel trilogy.,rey
16,Finn,Human,Male,1.78,73.0,Black,Brown,Dark,11.0,,,A former stormtrooper who joins the Resistance.,finn
17,Poe Dameron,Human,Male,1.76,79.0,Brown,Brown,Light,2.0,Yavin 4,,A skilled pilot and commander in the Resistance.,poe_dameron
18,Kylo Ren,Human,Male,1.89,89.0,Black,Brown,Light,5.0,Chandrila,35.0,A dark side user formerly known as Ben Solo.,kylo_ren
19,BB-8,Droid,,,,,,White,,,,A spherical astromech droid.,bb_8
20,C-3PO,Droid,,1.71,,,,Gold,112.0,Tatooine,,A protocol droid fluent in over six million forms of communication.,c_3po
21,R2-D2,Droid,,0.96,,,,White/Blue,33.0,Naboo,,An astromech droid known for his bravery and resourcefulness.,r2_d2
22,Lando Calrissian,Human,Male,1.77,79.0,Black,Brown,Dark,31.0,Socorro,,A charming gambler and ally of the Rebel Alliance.,lando_calrissian
23,Boba Fett,Human,Male,1.83,78.0,Black,Brown,Light,32.0,Kamino,,A notorious bounty hunter and clone of Jango Fett.,boba_fett
24,Jango Fett,Human,Male,1.83,79.0,Black,Brown,Light,66.0,Concord Dawn,22.0,A skilled bounty hunter and template for the clone army.,jango_fett
25,General Hux,Human,Male,1.85,75.0,Red,Blue,Light,0.0,Arkanis,35.0,A general in the First Order.,general_hux
26,Rose Tico,Human,Female,1.68,57.0,Black,Brown,Light,11.0,Hays Minor,,A mechanic in the Resistance.,rose_tico
27,Supreme Leader Snoke,,Male,2.18,100.0,,Blue,Pale,50.0,,34.0,The Supreme Leader of the First Order.,supreme_leader_snoke
28,Maz Kanata,,Female,1.24,31.0,,Brown,Orange,973.0,Takodana,,A wise and ancient being who runs a tavern on Takodana.,maz_kanata
29,Aayla Secura,Twi'lek,Female,1.78,55.0,Blue,Hazel,Blue,48.0,Ryloth,19.0,A Jedi Knight during the Clone Wars.,aayla_secura
30,Admiral Ackbar,Mon Calamari,Male,1.8,72.0,,Orange,Red,52.0,Mon Cala,35.0,A respected admiral in the Rebel Alliance.,admiral_ackbar
31,Admiral Piett,Human,Male,1.8,75.0,Brown,Blue,Light,59.0,Axxila,4.0,An Imperial officer serving under Darth Vader.,admiral_piett
32,Bail Organa,Human,Male,1.91,86.0,Black,Brown,Light,67.0,Alderaan,0.0,A senator and adoptive father of Leia Organa.,bail_organa
33,Barriss Offee,Mirialan,Female,1.66,50.0,Black,Blue,Green,40.0,Mirial,19.0,A Jedi Padawan during the Clone Wars.,barriss_offee
34,Biggs Darklighter,Human,Male,1.79,79.0,Black,Brown,Light,24.0,Tatooine,0.0,A Rebel pilot and friend of Luke Skywalker.,biggs_darklighter
35,Bib Fortuna,Twi'lek,Male,1.93,65.0,,Red,Pale,60.0,Ryloth,35.0,A majordomo for Jabba the Hutt.,bib_fortuna
36,Bossk,Trandoshan,Male,1.9,113.0,,Red,Green,53.0,Trandosha,,A feared bounty hunter.,bossk
37,Captain Phasma,Human,Female,2.0,75.0,Blonde,Blue,Light,15.0,Parnassos,35.0,A high-ranking officer in the First Order.,captain_phasma
38,Chirrut Îmwe,Human,Male,1.75,70.0,Black,Brown,Light,52.0,Jedha,0.0,A blind warrior monk and follower of the Force.,chirrut_imwe
39,Dengar,Human,Male,1.83,80.0,Brown,Brown,Light,32.0,Corellia,,A bounty hunter with a grudge against Han Solo.,dengar
40,Greedo,Rodian,Male,1.73,70.0,,Black,Green,44.0,Rodia,0.0,A bounty hunter killed by Han Solo.,greedo
41,Hera Syndulla,Twi'lek,Female,1.78,55.0,Green,Blue,Green,29.0,Ryloth,,A skilled pilot and leader of the Ghost crew.,hera_syndulla
42,Jabba the Hutt,Hutt,Male,3.9,1358.0,,Orange,Green,600.0,Nal Hutta,4.0,A notorious crime lord.,jabba_the_hutt
43,Kanan Jarrus,Human,Male,1.91,86.0,Brown,Blue,Light,32.0,Coruscant,2.0,A Jedi Knight and member of the Ghost crew.,kanan_jarrus
44,Kit Fisto,Nautolan,Male,1.96,87.0,,Black,Green,48.0,Glee Anselm,19.0,A Jedi Master known for his underwater combat skills.,kit_fisto
45,Lobot,Human,Male,1.75,75.0,,Blue,Light,47.0,Bespin,,A cyborg aide to Lando Calrissian.,lobot
46,Mon Mothma,Human,Female,1.7,55.0,Red,Blue,Light,48.0,Chandrila,,A leader in the Rebel Alliance.,mon_mothma
